Parameter,Type,Min,Max,Default,Description,Example
Actual_IndividualIntervention_Config,json object,NA,NA,NA,The configuration of an actual individual intervention to be distributed on the trigger. Selects a class for the intervention and configures the parameters specific for that intervention class.,[link](../json/campaign-nodelevelhealthtriggerediv-actual-individualintervention-config.json)
Actual_NodeIntervention_Config,json object,NA,NA,NA,The configuration of the actual node-level intervention sought. This parameter selects a class for the intervention and configures the parameters specific for that intervention class.,[link](../json/campaign-nodelevelhealthtriggerediv-actual-nodeintervention-config.json)
Blackout_Event_Trigger,enum,NA,NA,"""""",The event to broadcast if an intervention cannot be distributed due to the **Blackout_Period**. See [Event list](parameter-campaign-event-list.md) for possible values.,[link](../json/campaign-nodelevelhealthtriggerediv-blackout-event-trigger.json)
Blackout_On_First_Occurrence,boolean,0,1,0,"If set to true (1), individuals will enter the blackout period after the first occurrence of an event in the **Trigger_Condition_List**.",[link](../json/campaign-nodelevelhealthtriggerediv-blackout-on-first-occurrence.json)
Blackout_Period,float,0,3.40282e+38,0,"After the initial intervention distribution, the time, in days, to wait before distributing the intervention again. If it cannot distribute due to the blackout period, it will broadcast the user-defined **Blackout_Event_Trigger**.",[link](../json/campaign-nodelevelhealthtriggerediv-blackout-period.json)
Demographic_Coverage,float,0,1,1,The fraction of individuals in the target demographic that will receive this intervention.,[link](../json/campaign-nodelevelhealthtriggerediv-demographic-coverage.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-nodelevelhealthtriggerediv-disqualifying-properties.json)
Distribute_On_Return_Home,boolean,0,1,0,"When set to true (1), individuals will receive an intervention upon returning home if that intervention was originally distributed while the individual was away.",[link](../json/campaign-nodelevelhealthtriggerediv-distribute-on-return-home.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-nodelevelhealthtriggerediv-dont-allow-duplicates.json)
Duration,float,-1,3.40282e+38,-1,The number of days the NLHTIV will exist and listen for events/triggers. Note: Specifying a value of -1 results in indefinite persistence of the intervention.,[link](../json/campaign-nodelevelhealthtriggerediv-duration.json)
Intervention_Name,string,NA,NA,NodeLevelHealthTriggeredIV,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-nodelevelhealthtriggerediv-intervention-name.json)
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.,[link](../json/campaign-nodelevelhealthtriggerediv-new-property-value.json)
Node_Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter.",[link](../json/campaign-nodelevelhealthtriggerediv-node-property-restrictions.json)
Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.",[link](../json/campaign-nodelevelhealthtriggerediv-property-restrictions.json)
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. ",[link](../json/campaign-nodelevelhealthtriggerediv-property-restrictions-within-node.json)
Target_Age_Max,float,0,9.32E+35,9.32E+35,"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",[link](../json/campaign-nodelevelhealthtriggerediv-target-age-max.json)
Target_Age_Min,float,0,9.3228e+35,0,"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",[link](../json/campaign-nodelevelhealthtriggerediv-target-age-min.json)
Target_Demographic,enum,NA,NA,Everyone,The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState,[link](../json/campaign-nodelevelhealthtriggerediv-target-demographic.json)
Target_Gender,enum,NA,NA,All,Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All,[link](../json/campaign-nodelevelhealthtriggerediv-target-gender.json)
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).",[link](../json/campaign-nodelevelhealthtriggerediv-target-residents-only.json)
Targeting_Config,json object,NA,NA,NA,Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).,[link](../json/campaign-nodelevelhealthtriggerediv-targeting-config.json)
Trigger_Condition_List,array of strings,NA,NA,NA,An array of events that will trigger an intervention. The events contained in the list can be built-in events (see [Event list](parameter-campaign-event-list.md) for possible events) or the custom events defined in **Custom_Individual_Events** in the simulation configuration file. ,[link](../json/campaign-nodelevelhealthtriggerediv-trigger-condition-list.json)
